Offset,PID,Port,Proto,Protocol,Address,CreateTime
0x820d3d08,696,500,17,UDP,0.0.0.0,2014-04-17 12:23:05 UTC+0000
0x8251a2d0,4,137,17,UDP,192.168.78.128,2014-04-17 12:22:48 UTC+0000
0x8206dc68,1704,1028,6,TCP,127.0.0.1,2014-04-17 12:23:18 UTC+0000
0x82277e98,4,445,6,TCP,0.0.0.0,2014-04-17 12:22:36 UTC+0000
0x82491c08,948,135,6,TCP,0.0.0.0,2014-04-17 12:22:42 UTC+0000
0x825172d0,4,138,17,UDP,192.168.78.128,2014-04-17 12:22:48 UTC+0000
0x82269008,1080,123,17,UDP,127.0.0.1,2014-04-17 12:23:15 UTC+0000
0x82366d08,696,0,255,Reserved,0.0.0.0,2014-04-17 12:23:05 UTC+0000
0x82205d08,1080,123,17,UDP,192.168.78.128,2014-04-17 12:23:15 UTC+0000
0x8248e930,1208,1900,17,UDP,127.0.0.1,2014-04-17 12:23:17 UTC+0000
0x822755e8,696,4500,17,UDP,0.0.0.0,2014-04-17 12:23:05 UTC+0000
0x823865b0,1208,1900,17,UDP,192.168.78.128,2014-04-17 12:23:17 UTC+0000
0x820974a0,4,139,6,TCP,192.168.78.128,2014-04-17 12:22:48 UTC+0000
0x8236a330,4,445,17,UDP,0.0.0.0,2014-04-17 12:22:36 UTC+0000
