Offset,LocalAddress,RemoteAddress,PID,Proto
(null),169.254.41.213:138,*,4,UDP
(null),192.168.153.1:138,*,4,UDP
(null),169.254.41.213:137,*,4,UDP
(null),192.168.153.1:137,*,4,UDP
(null),0.0.0.0:5357,*:5888,4,TCP
(null),0.0.0.0:445,*:5888,4,TCP
(null),0.0.0.0:139,*:512,4,TCP
(null),0.0.0.0:49152,*:5888,360,TCP
(null),0.0.0.0:49161,*:5888,416,TCP
(null),0.0.0.0:49154,*:5888,460,TCP
(null),0.0.0.0:5355,*,464,UDP
(null),0.0.0.0:5355,*,464,UDP
(null),0.0.0.0:135,*:5888,656,TCP
(null),0.0.0.0:49153,*:5888,744,TCP
(null),0.0.0.0:123,*,812,UDP
(null),0.0.0.0:123,*,812,UDP
(null),0.0.0.0:49155,*:5888,836,TCP
(null),0.0.0.0:58520,*,1096,UDP
(null),0.0.0.0:5432,*:5888,1096,TCP
(null),0.0.0.0:58517,*,1252,UDP
(null),0.0.0.0:58516,*,1252,UDP
(null),0.0.0.0:3702,*,1252,UDP
(null),0.0.0.0:3702,*,1252,UDP
(null),0.0.0.0:3702,*,1252,UDP
(null),0.0.0.0:3702,*,1252,UDP
(null),127.0.0.1:58515,*,1528,UDP
(null),127.0.0.1:58514,*,1528,UDP
(null),0.0.0.0:27015,*:512,1528,TCP
(null),0.0.0.0:58519,*,1788,UDP
(null),0.0.0.0:58518,*,1788,UDP
(null),169.254.41.213:5353,*,1788,UDP
(null),192.168.153.1:5353,*,1788,UDP
(null),254.128.0.0:5353,*,1788,UDP
(null),0.0.0.0:5354,*:512,1788,TCP
(null),0.0.0.0:22350,*,2120,UDP
(null),0.0.0.0:22350,*:5888,2120,TCP
(null),0.0.0.0:912,*:512,2196,TCP
(null),0.0.0.0:902,*:512,2196,TCP
(null),0.0.0.0:8307,*:5888,2560,TCP
(null),0.0.0.0:443,*:5888,2560,TCP
(null),127.0.0.1:49168,127.0.0.1:4916,2560,9         TCP
